"ID","species","treatment","experiment","size_female_parent","size_male_parent","carcass_weight","n_survival_larvae_48","n_survival_at_dispersal","n_survival_to_adult","average_weight_larvae_0","average_weight_larvae_48","average_weight_at_dispersal","average_hatching_time","average_size_adult_offspring","total_n_larvae"
"802","Orb","silenced","1",0.524,0.629,20.9,4,0,0,0.00328,0.08006,NA,82,NA,10
"803","Orb","silenced","1",0.741,0.677,22.4,5,5,5,0.00311,0.07289,0.52768,62,0.707666667,10
"805","Orb","silenced","1",0.634,0.598,22.4,9,9,7,0.00321,0.09203,0.50388,52,0.659916667,10
"808","Orb","silenced","1",0.63,0.589,20.4,9,6,6,0.00315,0.07369,0.43228,56,0.6355,10
"809","Orb","silenced","1",0.624,0.602,18.1,8,8,4,0.00312,0.08285,0.48978,60,0.665833333,10
"821","Orb","silenced","1",0.429,0.432,19.4,9,8,8,0.00286,0.09374,0.40877,52,0.684,10
"823","Orb","silenced","1",0.614,0.629,21.1,8,7,7,0.00418,0.08654,0.54851,54,0.735583333,10
"834","Orb","silenced","1",0.547,0.651,20.1,9,9,8,0.00392,0.09695,0.48231,64,0.708357143,10
"901","Orb","silenced","2",0.528,0.531,19.3,5,5,5,0.00336,0.09145,0.61358,66,0.771666667,10
"903","Orb","silenced","2",0.574,0.59,18.9,9,6,6,0.00284,0.08292,0.44326,96,0.6875,10
"904","Orb","silenced","2",0.651,0.514,21.3,6,5,5,0.00316,0.07317,0.54831,68,0.7425,10
"905","Orb","silenced","2",0.708,0.561,21.1,10,9,8,0.00306,0.07906,0.44612,82,0.70625,10
"906","Orb","silenced","2",0.657,0.636,21.9,5,5,5,0.00264,0.05589,0.39291,52,0.655583333,10
"908","Orb","silenced","2",0.687,0.69,17.9,10,9,7,0.00287,0.082,0.36976,92,0.68855,10
"916","Orb","silenced","2",0.475,0.656,18.5,7,6,6,0.00312,0.05879,0.39261,70,0.6555,10
"919","Orb","silenced","2",0.621,0.649,18.7,8,8,7,0.0028,0.08048,0.4291,82,0.690958333,10
"920","Orb","silenced","2",0.613,0.651,18.4,0,0,0,0.00274,NA,NA,112,NA,10
"926","Orb","silenced","2",0.588,0.694,21.7,9,8,7,0.00291,0.07875,0.48398,102,0.715083333,10
"927","Orb","silenced","2",0.509,0.576,21.5,10,9,9,0.00284,0.08222,0.50276,112,0.72485,10
"934","Orb","silenced","2",0.434,0.629,18.3,7,7,6,0.0029,0.06661,0.42714,NA,0.642083333,10
"812","Orb","control","1",0.715,0.628,18.5,8,6,6,0.00302,0.0903,0.52288,56,0.739375,10
"815","Orb","control","1",0.638,0.559,19.9,6,5,5,0.00347,0.09833,0.56592,60,0.751583333,10
"822","Orb","control","1",0.588,0.622,19.3,5,5,5,0.00342,0.10477,0.5732,56,0.748666667,10
"826","Orb","control","1",0.601,0.553,19.1,6,6,6,0.00317,0.0927,0.50009,62,0.725,10
"827","Orb","control","1",0.585,0.703,22.3,8,6,6,0.00333,0.0893,0.55194,52,0.773666667,10
"828","Orb","control","1",0.574,0.672,18,6,5,4,0.00379,0.0846,0.46573,62,0.722166667,10
"830","Orb","control","1",0.656,0.672,19.8,9,8,8,0.00306,0.08772,0.49652,70,0.711625,10
"832","Orb","control","1",0.671,0.691,18.2,4,3,2,0.00318,0.09002,0.57646,72,0.782,10
"837","Orb","control","1",0.602,0.561,21.8,8,3,2,0.00304,0.08349,0.46518,60,0.6455,10
"840","Orb","control","1",0.531,0.66,20.3,5,4,4,0.00291,0.07808,0.54831,66,0.751166667,10
"910","Orb","control","2",0.605,0.6,17.6,7,7,7,0.00271,0.07021,0.50844,102,0.706458333,10
"911","Orb","control","2",0.705,0.596,19.6,10,10,10,0.00323,0.08847,0.46074,74,0.716916667,10
"914","Orb","control","2",0.582,0.745,22.2,6,7,7,0.00302,0.09568,0.49802,52,0.74485,10
"915","Orb","control","2",0.631,0.483,19.6,7,7,7,0.00271,0.0846,0.50101,88,0.6829,10
"922","Orb","control","2",0.494,0.661,19.3,7,7,7,0.00292,0.06609,0.45182,82,0.686416667,10
"923","Orb","control","2",0.557,0.628,20.9,9,9,9,0.00301,0.0872,0.49867,98,0.72325,10
"928","Orb","control","2",0.578,0.638,21.5,8,8,7,0.00287,0.08377,0.488,82,0.705875,10
"932","Orb","control","2",0.604,0.675,19.9,8,8,7,0.00288,0.08908,0.55869,100,0.741291667,10
"8-01","Pus","control","1",4.726,4.726,18,9,9,9,0.00137,0.02465,0.32457,50,4.7225,10
"8-06","Pus","control","1",4.403,4.414,18.3,10,9,9,0.00159,0.03529,0.34543,56,4.7795,10
"8-07","Pus","control","1",4.198,4.385,17.9,9,8,8,0.0015,0.02658,0.4,54,5.148,10
"8-14","Pus","control","1",4.686,4.468,22.2,9,9,8,0.00136,0.02776,0.39848,48,5.0475,10
"8-16","Pus","control","1",4.414,4.541,20.4,8,5,5,0.0015,0.03221,0.37462,64,4.9585,10
"8-18","Pus","control","1",4.385,4.502,20.1,8,5,5,0.00147,0.03118,0.40119,50,5.226,10
"8-23","Pus","control","1",4.468,4.416,20.7,8,8,8,0.00145,0.0295,0.35225,52,5.108,10
"8-28","Pus","control","1",4.685,4.737,19.2,10,10,9,0.00151,0.03138,0.3831,62,5.1045,10
"8-30","Pus","control","1",4.541,4.343,19.8,8,8,7,0.00147,0.0316,0.41424,50,4.919,10
"8-31","Pus","control","1",4.796,4.782,20.1,9,7,7,0.00151,0.02993,0.35343,54,5.11,10
"8-36","Pus","control","1",3.688,4,19.1,10,8,9,0.00158,0.02794,0.35483,52,5.0065,10
"8-37","Pus","control","1",4.502,4.905,18.9,7,7,6,0.00141,0.01762,0.27833,46,4.555,10
"8-41","Pus","control","1",4.043,3.965,17.6,9,8,8,0.0015,0.03211,0.34595,54,4.5855,10
"8-46","Pus","control","1",4.367,4.475,18.9,8,10,10,0.00152,0.03422,0.32483,68,4.573,10
"8-43","Pus","control","2",4.737,4.742,19.5,9,6,5,0.00157,0.02529,0.42099,56,5.393,10
"8-51","Pus","control","2",4.632,4.433,18.1,7,7,8,0.00152,0.03315,0.39649,54,5.1085,10
"8-53","Pus","control","2",4.343,4.539,20.8,9,8,7,0.00156,0.02864,0.36376,56,4.823,10
"8-57","Pus","control","2",4.86,4.535,20,10,7,7,0.0016,0.03027,0.38617,56,5.132,10
"8-05","Pus","silenced","1",4.282,4.436,19.3,9,9,9,0.00152,0.006576667,0.386822222,50,4.9385,10
"8-09","Pus","silenced","1",4.344,4.185,19.9,0,0,NA,0.00157,NA,NA,52,NA,10
"8-11","Pus","silenced","1",4.794,3.906,19.6,9,8,8,0.00148,0.02869,0.339905,52,4.91,10
"8-12","Pus","silenced","1",4.827,4.085,17.7,8,8,8,0.00149,0.01633,0.3738875,52,5.0925,10
"8-13","Pus","silenced","1",4.561,4.746,18.9,10,9,NA,0.00157,0.02958,0.387014444,66,4.9595,10
"8-17","Pus","silenced","1",3.978,4.774,18.1,9,9,NA,0.00138,0.030614444,0.349911111,50,4.7125,10
"8-21","Pus","silenced","1",3.977,4.101,18.2,0,0,NA,0.00135,NA,NA,46,NA,10
"8-24","Pus","silenced","1",4.793,5.097,18.7,9,9,9,0.00142,0.026808889,0.3737,54,5.0165,10
"8-26","Pus","silenced","1",4.261,3.852,19.1,10,10,10,0.00152,0.023214,0.36178,48,5.0895,10
"8-27","Pus","silenced","1",4.99,4.96,18.4,9,9,8,0.00134,0.01867,0.2900725,56,4.772,10
"8-33","Pus","silenced","1",4.633,4.559,17.6,10,10,7,0.00156,0.035224,0.392317778,52,5.241,10
"8-34","Pus","silenced","1",3.906,4.467,19.4,9,9,9,0.00149,0.021566667,0.395163333,46,5.1825,10
"8-35","Pus","silenced","1",4.741,4.861,17.8,9,9,9,0.00136,0.033168889,0.379088889,52,5.109,10
"8-38","Pus","silenced","1",5.302,4.306,21.8,9,9,8,0.00157,0.026276667,0.3150025,52,4.8385,10
"8-42","Pus","silenced","1",4.83,5.394,17.8,0,0,NA,0.00146,NA,NA,58,NA,10
"8-47","Pus","silenced","1",4.439,4.844,21.7,9,9,9,0.00153,0.015998889,0.378656667,54,5.079,10
"8-49","Pus","silenced","1",NA,NA,19.3,0,0,NA,0.00136,NA,NA,42,NA,10
"8-10","Pus","silenced","2",4.606,5.096,19.3,0,0,NA,0.00144,NA,NA,52,NA,10
"8-22","Pus","silenced","2",4.509,5.256,18.2,9,9,8,0.00152,0.033416667,0.39699625,52,5.225,10
"8-39","Pus","silenced","2",4.255,5.339,20.2,0,0,NA,0.00128,NA,NA,48,NA,10
"8-44","Pus","silenced","2",4.895,4.792,19.4,0,0,NA,0.0016,NA,NA,60,NA,10
"1037","Ves","control","1",5.809,5.841,21.9,8,8,8,0.00289,0.10227,0.22479,72,5.653,10
"1048","Ves","control","1",5.438,5.426,20.9,9,9,9,0.00282,0.10386,0.22363,82,5.5115,10
"1052","Ves","control","1",5.692,5.23,20.6,7,7,7,0.00258,0.09878,0.21337,80,5.643,10
"1053","Ves","control","1",4.802,6.03,19.7,9,7,6,0.00263,0.09597,0.2163,52,5.689,10
"1055","Ves","control","1",5.753,5.288,21.6,8,8,8,0.00269,0.09733,0.21125,64,5.48525,10
"1058","Ves","control","1",5.729,5.893,17.9,9,9,9,0.0027,0.1124,0.2098,60,5.628,10
"1064","Ves","control","1",4.878,6.081,18.5,8,8,7,0.00285,0.1195,0.22871,74,5.701,10
"1066","Ves","control","1",5.227,4.848,17.7,7,7,7,0.00266,0.10804,0.21236,76,5.368,10
"1068","Ves","control","1",5.238,5.027,17.7,7,4,2,0.00274,0.10175,0.18967,66,5.491,10
"1074","Ves","control","1",5.217,5.437,20.4,7,5,5,0.00291,0.10286,0.21144,70,5.585,10
"1075","Ves","control","1",5.29,5.285,19.8,10,10,10,0.0028,0.1029,0.22438,66,5.8825,10
"117","Ves","control","1",5.686,5.218,18.2,9,9,9,0.00262,0.09352,0.23087,62,5.822,10
"119","Ves","control","1",5.565,5.971,20.7,8,8,8,0.0026,0.09038,0.22613,62,5.9255,10
"120","Ves","control","1",5.11,5.042,21.8,8,6,5,0.0025,0.08637,0.21221,76,5.8955,10
"121","Ves","control","1",5.674,5.855,21,9,8,8,0.00253,0.09765,0.22543,78,5.8495,10
"126","Ves","control","2",5.648,5.702,22.2,8,7,7,0.00248,0.09071,0.21627,76,5.759,10
"127","Ves","control","2",5.468,4.431,19.1,8,8,8,0.00255,0.07997,0.21784,64,5.7465,10
"129","Ves","control","2",6.018,5.212,20.3,9,10,8,0.00247,0.07285,0.21336,68,5.937,10
"130","Ves","control","2",5.098,5.076,20.9,10,9,9,0.00256,0.06944,0.19433,68,5.615,10
"1005","Ves","silenced","1",5.536,6.059,17.6,9,8,3,0.00266,0.10402,0.19642,58,5.579,10
"1008","Ves","silenced","1",5.182,5.556,18.2,6,6,5,0.00269,0.10794,0.19629,72,5.5695,10
"1019","Ves","silenced","1",5.126,5.572,17.9,7,6,4,0.00272,0.09006,0.20645,76,5.331,10
"1021","Ves","silenced","1",6.031,5.372,21.8,5,5,5,0.00243,0.07619,0.18955,52,5.5435,10
"1023","Ves","silenced","2",5.428,5.686,21.1,5,1,0,0.00245,0.10491,0.1319,74,NA,10
"1028","Ves","silenced","2",5.379,5.799,22.3,5,4,2,0.00244,0.09271,0.18108,92,5.597,10
"102","Ves","silenced","1",4.644,5.531,21.6,4,4,3,0.00234,0.08587,0.19779,76,5.468,10
"103","Ves","silenced","1",5.267,5.297,21.5,5,4,3,0.00263,0.0734,0.22378,64,5.693,10
"104","Ves","silenced","1",5.407,5.024,22.5,7,6,4,0.0024,0.07768,0.20469,68,5.7055,10
"105","Ves","silenced","1",5.082,6.101,19.9,5,4,4,0.00237,0.08671,0.19916,80,5.5255,10
"106","Ves","silenced","1",5.856,5.816,19.4,6,6,6,0.00257,0.08658,0.22743,76,5.841,10
"108","Ves","silenced","1",5.847,5.565,20.4,9,5,5,0.00254,0.09231,0.21013,80,5.7705,10
"110","Ves","silenced","1",5.853,5.407,22.4,9,8,8,0.0025,0.08413,0.20834,64,5.758,10
"113","Ves","silenced","2",6.044,5.595,18.9,8,8,8,0.0028,0.10703,0.24893,64,5.8425,10
"114","Ves","silenced","2",5.981,5.746,21.6,9,9,8,0.00269,0.08381,0.23406,62,5.7335,10
